group,id,rank,title,kind,decision,platform,analysis,sourcePath,full,thumb,hash,width,height,bytes_original,bytes_full,missing,model,promptVersion,references
recommended,13,13,IMG 0492 - Raw counter front,interior-raw,ENHANCE,Dining platform ambience,"Good counter-front proof, warm and recognizable. Needs crop and brightness control.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0492.JPG,media/full/recommended-13.jpg,media/thumb/recommended-13.jpg,d2bbfb47b78ee34b0fae86169999022a30fc62c32d8ec7f5b17d81bf4ad4b9a6,3648,5472,5092082,235911,False,,,
recommended,14,14,IMG 0506 - Raw booth seating,interior-raw,ENHANCE,EazyDiner seating proof,Useful booth seating angle with wall menu visuals. Good candidate after perspective cleanup.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0506.JPG,media/full/recommended-14.jpg,media/thumb/recommended-14.jpg,445b8e3c56b66e540d986fec093bc7f377a394286cb0b72da184ac7455c66af0,3648,5472,5059961,237697,False,,,
recommended,15,15,IMG 0514 - Raw display counter,interior-raw,ENHANCE,GMB + Dineout,Display counter and menu-board proof. Useful operational photo for listing trust.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0514.JPG,media/full/recommended-15.jpg,media/thumb/recommended-15.jpg,40e51aefb4904f49075e4c0777c425eb0debb9fe63d74944397ef3cba8c73688,3648,5472,4850175,265691,False,,,
recommended,16,16,IMG 0515 - Raw dine-in table,interior-raw,ENHANCE_OPTIONAL,Ambience backup,Backup seating/table angle. Keep only if enhancement makes it cleaner than similar booth images.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0515.JPG,media/full/recommended-16.jpg,media/thumb/recommended-16.jpg,d784638ea1815f0c2a040f685e8ee6d95bd24c724995129b5f980f020dac90fc,3648,5472,5064163,274799,False,,,
reference,R1,,GBP facade listing reference 134,reference,REFERENCE_ONLY,Current GBP reference,Already in listing reference. Useful style/mood reference.,/Users/nihaf/Desktop/HE_Enhanced_External_Ambience_Only_2026-05-15/gbp_134_20260331_AF1QipM9MMi0V9yR86i1N70-xPMo9VoAlzPPl6O-jo86.jpg,media/full/reference-r1.jpg,media/thumb/reference-r1.jpg,b7b7a8ea9950ce9e542cefc15abb131a2a28fb22d5640a7976908657e76839cd,4096,4096,1060722,416519,False,,,
reference,R2,,GBP facade listing reference 147 duplicate,reference,REFERENCE_ONLY_DUPLICATE,Current GBP duplicate,"Duplicate content of GBP facade reference, retained for audit but not a separate upload asset.",/Users/nihaf/Desktop/HE_Enhanced_External_Ambience_Only_2026-05-15/gbp_147_20260331_AF1QipN0hDuD2hpyY0DaUrlnUGoQN5D0c7M5mCjIEt3x.jpg,media/full/reference-r2.jpg,media/thumb/reference-r2.jpg,b7b7a8ea9950ce9e542cefc15abb131a2a28fb22d5640a7976908657e76839cd,4096,4096,1060722,416519,False,,,
raw-facade,IMG_0497,,IMG_0497.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0497.JPG,media/full/raw-facade-img-0497.jpg,media/thumb/raw-facade-img-0497.jpg,b0496af98ccec5231b4297db48bfa48047d58e0d6c431434c9d4cd138fcdd841,3648,5472,5754363,351691,False,,,
raw-facade,IMG_0498,,IMG_0498.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0498.JPG,media/full/raw-facade-img-0498.jpg,media/thumb/raw-facade-img-0498.jpg,2bd57f4c576adc8469061715e66d6fb81c2e14c5a633c8ef2575a3ffad1b3bab,3648,5472,5676856,351237,False,,,
raw-facade,IMG_0499,,IMG_0499.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0499.JPG,media/full/raw-facade-img-0499.jpg,media/thumb/raw-facade-img-0499.jpg,abaf865ec3a77ade20d9e78fae92a47ee5d4d0f3d69ce2f9142aaf61ad3d7307,3648,5472,5505027,338803,False,,,
raw-facade,IMG_0500,,IMG_0500.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0500.JPG,media/full/raw-facade-img-0500.jpg,media/thumb/raw-facade-img-0500.jpg,b4f59fd540c471e3289a1d4f9093affcef8d80f934a58823f722b576d42cd545,3648,5472,5526086,340945,False,,,
raw-facade,IMG_0501,,IMG_0501.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0501.JPG,media/full/raw-facade-img-0501.jpg,media/thumb/raw-facade-img-0501.jpg,8cd0cec3e6669901d40f7aebfbb40134f54d68ac46177ce655d2c983493629d2,3648,5472,5546611,348660,False,,,
raw-facade,IMG_0502,,IMG_0502.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0502.JPG,media/full/raw-facade-img-0502.jpg,media/thumb/raw-facade-img-0502.jpg,5a4c22670fca83a584fb3717b1a90762948dbc4b385eae073e88a99140d28c4c,3648,5472,5599585,349934,False,,,
raw-facade,IMG_0503,,IMG_0503.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0503.JPG,media/full/raw-facade-img-0503.jpg,media/thumb/raw-facade-img-0503.jpg,6ca21cb624717ec2d9c840591543b8bb2de7c19802819d8696caa1cbbfc74e63,3648,5472,5584650,348277,False,,,
raw-facade,IMG_0504,,IMG_0504.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0504.JPG,media/full/raw-facade-img-0504.jpg,media/thumb/raw-facade-img-0504.jpg,6bd021db0407f90ac3d8891066866f292848d8f9c479488cb1e2c2056a77ccfd,3648,5472,5546587,347202,False,,,
raw-facade,IMG_0505,,IMG_0505.JPG,raw-facade-candidate,RAW_CANDIDATE,Facade candidate pool,Raw exterior candidate from new ZIP. Compare against ranked recommended set.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0505.JPG,media/full/raw-facade-img-0505.jpg,media/thumb/raw-facade-img-0505.jpg,546cabe602a05765d1758648db6e0f27224231018ccba8325b74b4e6950e2320,3648,5472,5574104,347874,False,,,
enhancement-test,04E-V1,,Gemini enhanced IMG 0501 - v1 warm facade style,facade-enhancement-test,GEMINI_V1_STYLE_TEST,"Internal review for GMB, EazyDiner, Zomato Dining, Swiggy Dineout","First Gemini Pro pass. Strong warm storefront mood but widened the composition too much; keep as style benchmark, not upload-ready.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0501.JPG,media/full/enhanced-04-img-0501-v1.jpg,media/thumb/enhanced-04-img-0501-v1.jpg,4e5f98132eb8598cf35fc5423a7cfe4fc66c5d67151d57cd733caeb16c63c4ac,1518,688,,246382,False,gemini-3-pro-image-preview,facade-restoration-v1,06|07|08|09|10
enhancement-test,04E-V2,,Gemini enhanced IMG 0501 - v2 portrait faithful,facade-enhancement-test,GEMINI_V2_REVIEW,"Internal review for GMB, EazyDiner, Zomato Dining, Swiggy Dineout",Second Gemini Pro pass. Better preservation of the original portrait angle with warm listing-ready facade/interior grade; review before platform upload.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0501.JPG,media/full/enhanced-04-img-0501-v2.jpg,media/thumb/enhanced-04-img-0501-v2.jpg,193c6eff4bbac8734ad88ff805c7448ec9c54c1e6c2a29a86b1815865a635d99,848,1264,,272174,False,gemini-3-pro-image-preview,facade-restoration-v2-portrait-lock,06|08
enhancement-test,04E-V3,,Gemini enhanced IMG 0501 - v3 brighter warm entrance,facade-enhancement-test,V3_REVIEW_BRIGHTER,"Internal review for GMB, EazyDiner, Zomato Dining, Swiggy Dineout","Controlled local grade from V2. Entrance, counter, and interior are brighter while keeping the warm Hamza ambience and original portrait composition. Best current review candidate if brightness is the priority.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0501.JPG,media/full/enhanced-04-img-0501-v3-brighter.jpg,media/thumb/enhanced-04-img-0501-v3-brighter.jpg,3ceb2ff241b05fe71d6d97f02f1cf20348f09d1184793446512932291671cc29,848,1264,,284867,False,local-pil-grade-from-gemini-v2,v3-brighter-warm-entrance-local-grade,04E-V2|06|08
enhancement-test,02E-V1,,Gemini enhanced IMG 0497 - v1 warm storefront context,facade-enhancement-test,BATCH_REVIEW_SELECTED,GMB gallery + Zomato Dining + EazyDiner facade proof,"Wide storefront context with brighter sign, entrance, and counter visibility while preserving the real facade geometry and neighboring Zia board. Selected for platform review.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0497.JPG,media/full/enhanced-02-img-0497-v1.jpg,media/thumb/enhanced-02-img-0497-v1.jpg,83814bd9ae73dd874db530a681e3df7cf4d54287997774da0c7cc87e6ce25080,843,1264,,297659,False,gemini-3-pro-image-preview + local warm grade,batch-facade-preserve-v1,06|04E-V3|08
enhancement-test,11E-V2,,Gemini enhanced IMG 0480 - v2 seating aisle geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,Dining platform ambience,"Portrait geometry-locked warm ambience pass. Keeps the seating aisle, booth depth, ceiling, and floor pattern intact while lifting warmth and brightness.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0480.JPG,media/full/enhanced-11-img-0480-v2-geometry.jpg,media/thumb/enhanced-11-img-0480-v2-geometry.jpg,fc7432953c2dc3babc49864a1fb0a3b6368f04a1082dccda0fb5a3d09e171e03,848,1264,,219712,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,10|07|08
enhancement-test,12E-V2,,Gemini enhanced IMG 0488 - v2 counter walkway geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,Dining platform ambience,"Portrait geometry-locked warm ambience pass for the counter walkway and seating depth. Brighter without changing the real counter, table, and menu-board layout.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0488.JPG,media/full/enhanced-12-img-0488-v2-geometry.jpg,media/thumb/enhanced-12-img-0488-v2-geometry.jpg,086c99863583cd9e01c3b66edd6e8a7361cc471935bb9d17a95182d54547cf60,848,1264,,195688,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,08|09|10
enhancement-test,13E-V2,,Gemini enhanced IMG 0492 - v2 counter front geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,Dining platform ambience,"Counter-front proof with warmer lights and cleaner brightness. The crop, ceiling, display counter, wall fan, and floor geometry remain intact.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0492.JPG,media/full/enhanced-13-img-0492-v2-geometry.jpg,media/thumb/enhanced-13-img-0492-v2-geometry.jpg,773a595bb34f46e451d112d3f7913017169d0ba0eaea115973a6df2aaa0c3ae1,848,1264,,180423,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,08|09|07
enhancement-test,14E-V2,,Gemini enhanced IMG 0506 - v2 booth seating geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,EazyDiner seating proof,"Booth seating angle enhanced for warm platform ambience while preserving the menu-board wall, table, booth, and counter positions.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0506.JPG,media/full/enhanced-14-img-0506-v2-geometry.jpg,media/thumb/enhanced-14-img-0506-v2-geometry.jpg,6877c367b4425f71c27ab01428723a03545c59d05e7e01a15dc6de883e6fadef,848,1264,,190285,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,10|08|07
enhancement-test,15E-V2,,Gemini enhanced IMG 0514 - v2 display counter geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,GMB + Swiggy Dineout display counter,"Display-counter proof enhanced for brightness, glass visibility, and warm listing trust while keeping the original menu boards and counter geometry.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0514.JPG,media/full/enhanced-15-img-0514-v2-geometry.jpg,media/thumb/enhanced-15-img-0514-v2-geometry.jpg,f003c504a5c6447708ae6a658c26bc07f610f8018c9bbffafbfa7b890b073287,848,1264,,214016,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,08|09|07
enhancement-test,16E-V2,,Gemini enhanced IMG 0515 - v2 table seating geometry lock,interior-enhancement-test,BATCH_REVIEW_SELECTED,Ambience backup,"Backup seating/table angle enhanced with a warm bright finish while preserving the real table, booth, display case, and wall menu arrangement.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0515.JPG,media/full/enhanced-16-img-0515-v2-geometry.jpg,media/thumb/enhanced-16-img-0515-v2-geometry.jpg,b60a0c65a9a720672b00f32b517abe73b6f82d83e171b189b93b2c5745215202,848,1264,,208267,False,gemini-3-pro-image-preview + local warm grade,interior-geometry-lock-v2,10|08|07
